Date,Open,High,Low,Close
01/17/2025,"19,655.55","19,709.64","19,543.32","19,630.20"
01/16/2025,"19,573.87","19,579.85","19,335.68","19,338.29"
01/15/2025,"19,350.31","19,548.90","19,299.32","19,511.23"
01/14/2025,"19,207.75","19,273.14","18,926.60","19,044.39"
01/13/2025,"18,903.66","19,099.97","18,831.91","19,088.10"
01/10/2025,"19,312.26","19,315.11","19,018.75","19,161.63"
01/08/2025,"19,469.36","19,544.50","19,308.54","19,478.88"
01/07/2025,"19,938.08","19,940.21","19,421.02","19,489.68"
01/06/2025,"19,851.99","20,007.95","19,784.99","19,864.98"
01/03/2025,"19,395.51","19,638.66","19,379.57","19,621.68"
01/02/2025,"19,403.90","19,517.87","19,117.59","19,280.79"
